John Conyers,Democrat,Michigan 13,,
Charles B. Rangel,Democrat,New York 13,,
Don Young,Republican,Alaska at-large,,
James Sensenbrenner,Republican,Wisconsin 5,,
Hal Rogers,Republican,Kentucky 5,,
Christopher Smith,Republican,New Jersey 4,,
Steny Hoyer,Democrat,Maryland 5,,
Marcy Kaptur,Democrat,Ohio 9,,
Sander Levin,Democrat,Michigan 9,,
Joe Barton,Republican,Texas 6,,
Pete Visclosky,Democrat,Indiana 1,,
Peter DeFazio,Democrat,Oregon 4,,
John Lewis,Democrat,Georgia 5,,
Louise Slaughter,Democrat,New York 25,,
Lamar Smith,Republican,Texas 21,,
Fred Upton,Republican,Michigan 6,,
Nancy Pelosi,Democrat,California 12,,
John Duncan,Republican,Tennessee 2,,
Frank Pallone,Democrat,New Jersey 6,,
Eliot Engel,Democrat,New York 16,,
Nita Lowey,Democrat,New York 17,,
Jim McDermott,Democrat,Washington 7,,
Richard Neal,Democrat,Massachusetts 1,,
Dana Rohrabacher,Republican,California 48,,
Ileana Ros-Lehtinen,Republican,Florida 27,,
José Serrano,Democrat,New York 15,,
David Price,Democrat,North Carolina 4,,
John Boehner,Republican,Ohio 8,,
Rosa DeLauro,Democrat,Connecticut 3,,
Collin Peterson,Democrat,Minnesota 7,,
Maxine Waters,Democrat,California 43,,
Sam Johnson,Republican,Texas 3,,
Jerrold Nadler,Democrat,New York 10,,
Jim Cooper,Democrat,Tennessee 5,,
Xavier Becerra,Democrat,California 34,,
Sanford Bishop,Democrat,Georgia 2,,
Corrine Brown,Democrat,Florida 5,,
Ken Calvert,Republican,California 42,,
Jim Clyburn,Democrat,South Carolina 6,,
Anna Eshoo,Democrat,California 18,,
Bob Goodlatte,Republican,Virginia 6,,
Gene Green,Democrat,Texas 29,,
Luis Gutiérrez,Democrat,Illinois 4,,
Alcee Hastings,Democrat,Florida 20,,
Eddie Bernice Johnson,Democrat,Texas 30,,
Peter King,Republican,New York 2,,
Carolyn Maloney,Democrat,New York 12,,
John Mica,Republican,Florida 7,,
Lucille Roybal-Allard,Democrat,California 40,,
Ed Royce,Republican,California 39,,
Bobby Rush,Democrat,Illinois 1,,
Bobby Scott,Democrat,Virginia 3,,
Nydia Velázquez,Democrat,New York 7,,
Bennie Thompson,Democrat,Mississippi 2,,
Sam Farr,Democrat,California 20,,
Frank Lucas,Republican,Oklahoma 3,,
Lloyd Doggett,Democrat,Texas 35,,
Mike Doyle,Democrat,Pennsylvania 14,,
Chaka Fattah,Democrat,Pennsylvania 2,,
Rodney Frelinghuysen,Republican,New Jersey 11,,
Sheila Jackson-Lee,Democrat,Texas 18,,
Walter B. Jones,Republican,North Carolina 3,,
Frank LoBiondo,Republican,New Jersey 2,,
Zoe Lofgren,Democrat,California 19,,
Mac Thornberry,Republican,Texas 13,,
Ed Whitfield,Republican,Kentucky 1,,
Elijah Cummings,Democrat,Maryland 7,,
Earl Blumenauer,Democrat,Oregon 3,,
Robert Aderholt,Republican,Alabama 4,,
Kevin Brady,Republican,Texas 8,,
Danny Davis,Democrat,Illinois 7,,
Diana DeGette,Democrat,Colorado 1,,
Kay Granger,Republican,Texas 12,,
Rubén Hinojosa,Democrat,Texas 15,,
Ron Kind,Democrat,Wisconsin 3,,
Jim McGovern,Democrat,Massachusetts 2,,
Bill Pascrell,Democrat,New Jersey 9,,
Joe Pitts,Republican,Pennsylvania 16,,
Loretta Sanchez,Democrat,California 46,,
Pete Sessions,Republican,Texas 32,,
Brad Sherman,Democrat,California 30,,
John Shimkus,Republican,Illinois 15,,
Adam Smith,Democrat,Washington 9,,
Gregory Meeks,Democrat,New York 5,,
Lois Capps,Democrat,California 24,,
Barbara Lee,Democrat,California 13,,
Robert Brady,Democrat,Pennsylvania 1,,
Steve Chabot,Republican,Ohio 1,,
Mike Capuano,Democrat,Massachusetts 7,,
Joe Crowley,Democrat,New York 14,,
John Larson,Democrat,Connecticut 1,,
Grace Napolitano,Democrat,California 32,,
Paul Ryan,Republican,Wisconsin 1,,
Jan Schakowsky,Democrat,Illinois 9,,
Mike Simpson,Republican,Idaho 2,,
Mike Thompson,Democrat,California 5,,
Greg Walden,Republican,Oregon 2,,
Lacy Clay,Democrat,Missouri 1,,
Ander Crenshaw,Republican,Florida 4,,
John Culberson,Republican,Texas 7,,
Susan Davis,Democrat,California 53,,
Sam Graves,Republican,Missouri 6,,
Mike Honda,Democrat,California 17,,
Steve Israel,Democrat,New York 3,,
Darrell Issa,Republican,California 49,,
James Langevin,Democrat,Rhode Island 2,,
Rick Larsen,Democrat,Washington 2,,
Betty McCollum,Democrat,Minnesota 4,,
Adam Schiff,Democrat,California 28,,
Patrick Tiberi,Republican,Ohio 12,,
Bill Shuster,Republican,Pennsylvania 9,,
Randy Forbes,Republican,Virginia 4,,
Stephen Lynch,Democrat,Massachusetts 8,,
Jeff Miller,Republican,Florida 1,,
Joe Wilson,Republican,South Carolina 2,,
Rob Bishop,Republican,Utah 1,,
Marsha Blackburn,Republican,Tennessee 7,,
Michael Burgess,Republican,Texas 26,,
John Carter,Republican,Texas 31,,
Tom Cole,Republican,Oklahoma 4,,
Mario Diaz-Balart,Republican,Florida 25,,
Trent Franks,Republican,Arizona 8,,
Scott Garrett,Republican,New Jersey 5,,
Raúl Grijalva,Democrat,Arizona 3,,
Jeb Hensarling,Republican,Texas 5,,
Steve King,Republican,Iowa 4,,
John Kline,Republican,Minnesota 2,,
Candice Miller,Republican,Michigan 10,,
Tim Murphy,Republican,Pennsylvania 18,,
Devin Nunes,Republican,California 22,,
Mike D. Rogers,Republican,Alabama 3,,
Dutch Ruppersberger,Democrat,Maryland 2,,
Tim Ryan,Democrat,Ohio 13,,
Linda Sánchez,Democrat,California 38,,
David Scott,Democrat,Georgia 13,,
Michael Turner,Republican,Ohio 10,,
Chris Van Hollen,Democrat,Maryland 8,,
Randy Neugebauer,Republican,Texas 19,,
G. K. Butterfield,Democrat,North Carolina 1,,
Charles Boustany,Republican,Louisiana 3,,
Emanuel Cleaver,Democrat,Missouri 5,,
Mike Conaway,Republican,Texas 11,,
Jim Costa,Democrat,California 16,,
Henry Cuellar,Democrat,Texas 28,,
Charlie Dent,Republican,Pennsylvania 15,,
Jeff Fortenberry,Republican,Nebraska 1,,
Virginia Foxx,Republican,North Carolina 5,,
Louie Gohmert,Republican,Texas 1,,
Al Green,Democrat,Texas 9,,
Brian Higgins,Democrat,New York 26,,
Dan Lipinski,Democrat,Illinois 3,,
Kenny Marchant,Republican,Texas 24,,
Michael McCaul,Republican,Texas 10,,
Patrick McHenry,Republican,North Carolina 10,,
Cathy McMorris Rodgers,Republican,Washington 5,,
Gwen Moore,Democrat,Wisconsin 4,,
Ted Poe,Republican,Texas 2,,
Tom Price,Republican,Georgia 6,,
Dave Reichert,Republican,Washington 8,,
Debbie Wasserman Schultz,Democrat,Florida 23,,
Lynn Westmoreland,Republican,Georgia 3,,
Doris Matsui,Democrat,California 6,,
Albio Sires,Democrat,New Jersey 8,,
Steve Pearce,Republican,New Mexico 2,,
Gus Bilirakis,Republican,Florida 12,,
Vern Buchanan,Republican,Florida 16,,
Kathy Castor,Democrat,Florida 14,,
Yvette D. Clarke,Democrat,New York 9,,
Steve Cohen,Democrat,Tennessee 9,,
Joe Courtney,Democrat,Connecticut 2,,
Keith Ellison,Democrat,Minnesota 5,,
Hank Johnson,Democrat,Georgia 4,,
Jim Jordan,Republican,Ohio 4,,
Doug Lamborn,Republican,Colorado 5,,
Dave Loebsack,Democrat,Iowa 2,,
Kevin McCarthy,Republican,California 23,,
Jerry McNerney,Democrat,California 9,,
Ed Perlmutter,Democrat,Colorado 7,,
Peter Roskam,Republican,Illinois 6,,
John Sarbanes,Democrat,Maryland 3,,
Adrian Smith,Republican,Nebraska 3,,
Tim Walz,Democrat,Minnesota 1,,
Peter Welch,Democrat,Vermont at-large,,
John Yarmuth,Democrat,Kentucky 3,,
Niki Tsongas,Democrat,Massachusetts 3,,
Bob Latta,Republican,Ohio 5,,
Rob Wittman,Republican,Virginia 1,,
André Carson,Democrat,Indiana 7,,
Jackie Speier,Democrat,California 14,,
Steve Scalise,Republican,Louisiana 1,,
Donna Edwards,Democrat,Maryland 4,,
Marcia Fudge,Democrat,Ohio 11,,
Rick Nolan,Democrat,Minnesota 8,,
Matt Salmon,Republican,Arizona 5,,
Mark Sanford,Republican,South Carolina 1,,
Jason Chaffetz,Republican,Utah 3,,
Mike Coffman,Republican,Colorado 6,,
Gerry Connolly,Democrat,Virginia 11,,
John C. Fleming,Republican,Louisiana 4,,
Brett Guthrie,Republican,Kentucky 2,,
Gregg Harper,Republican,Mississippi 3,,
Jim Himes,Democrat,Connecticut 4,,
Duncan D. Hunter,Republican,California 50,,
Lynn Jenkins,Republican,Kansas 2,,
Leonard Lance,Republican,New Jersey 7,,
Blaine Luetkemeyer,Republican,Missouri 3,,
Ben R. Luján,Democrat,New Mexico 3,,
Cynthia Lummis,Republican,Wyoming at-large,,
Tom McClintock,Republican,California 4,,
Pete Olson,Republican,Texas 22,,
Erik Paulsen,Republican,Minnesota 3,,
Chellie Pingree,Democrat,Maine 1,,
Jared Polis,Democrat,Colorado 2,,
Bill Posey,Republican,Florida 8,,
Phil Roe,Republican,Tennessee 1,,
Tom Rooney,Republican,Florida 17,,
Aaron Schock,Republican,Illinois 18,,
Kurt Schrader,Democrat,Oregon 5,,
Glenn Thompson,Republican,Pennsylvania 5,,
Paul Tonko,Democrat,New York 20,,
Michael Quigley,Democrat,Illinois 5,,
Judy Chu,Democrat,California 27,,
John Garamendi,Democrat,California 3,,
Ted Deutch,Democrat,Florida 21,,
Tom Graves,Republican,Georgia 14,,
Tom Reed,Republican,New York 23,,
Marlin Stutzman,Republican,Indiana 3,,
Mike Fitzpatrick,Republican,Pennsylvania 8,,
Tim Walberg,Republican,Michigan 7,,
Bill Foster,Democrat,Illinois 11,,
Justin Amash,Republican,Michigan 3,,
Lou Barletta,Republican,Pennsylvania 11,,
Karen Bass,Democrat,California 37,,
Dan Benishek,Republican,Michigan 1,,
Diane Black,Republican,Tennessee 6,,
Mo Brooks,Republican,Alabama 5,,
Larry Bucshon,Republican,Indiana 8,,
John Carney,Democrat,Delaware at-large,,
David Cicilline,Democrat,Rhode Island 1,,
Rick Crawford,Republican,Arkansas 1,,
Jeff Denham,Republican,California 10,,
Scott DesJarlais,Republican,Tennessee 4,,
Sean Duffy,Republican,Wisconsin 7,,
Jeff Duncan,Republican,South Carolina 3,,
Renee Ellmers,Republican,North Carolina 2,,
Blake Farenthold,Republican,Texas 27,,
Stephen Fincher,Republican,Tennessee 8,,
Chuck Fleischmann,Republican,Tennessee 3,,
Bill Flores,Republican,Texas 17,,
Bob Gibbs,Republican,Ohio 7,,
Chris Gibson,Republican,New York 19,,
Paul Gosar,Republican,Arizona 4,,
Trey Gowdy,Republican,South Carolina 4,,
Morgan Griffith,Republican,Virginia 9,,
Michael Grimm,Republican,New York 11,,
Richard Hanna,Republican,New York 22,,
Andy Harris,Republican,Maryland 1,,
Vicky Hartzler,Republican,Missouri 4,,
Joe Heck,Republican,Nevada 3,,
Jaime Herrera Beutler,Republican,Washington 3,,
Tim Huelskamp,Republican,Kansas 1,,
Bill Huizenga,Republican,Michigan 2,,
Randy Hultgren,Republican,Illinois 14,,
Robert Hurt,Republican,Virginia 5,,
Bill Johnson,Republican,Ohio 6,,
Bill Keating,Democrat,Massachusetts 9,,
Mike Kelly,Republican,Pennsylvania 3,,
Adam Kinzinger,Republican,Illinois 16,,
Raúl Labrador,Republican,Idaho 1,,
Billy Long,Republican,Missouri 7,,
Tom Marino,Republican,Pennsylvania 10,,
David McKinley,Republican,West Virginia 1,,
Pat Meehan,Republican,Pennsylvania 7,,
Mick Mulvaney,Republican,South Carolina 5,,
Kristi Noem,Republican,South Dakota at-large,,
Rich Nugent,Republican,Florida 11,,
Alan Nunnelee,Republican,Mississippi 1,,
Steven Palazzo,Republican,Mississippi 4,,
Mike Pompeo,Republican,Kansas 4,,
Jim Renacci,Republican,Ohio 16,,
Reid Ribble,Republican,Wisconsin 8,,
Cedric Richmond,Democrat,Louisiana 2,,
Scott Rigell,Republican,Virginia 2,,
Martha Roby,Republican,Alabama 2,,
Todd Rokita,Republican,Indiana 4,,
Dennis Ross,Republican,Florida 15,,
David Schweikert,Republican,Arizona 6,,
Austin Scott,Republican,Georgia 8,,
Terri Sewell,Democrat,Alabama 7,,
Steve Stivers,Republican,Ohio 15,,
Scott Tipton,Republican,Colorado 3,,
Daniel Webster,Republican,Florida 10,,
Frederica Wilson,Democrat,Florida 24,,
Steve Womack,Republican,Arkansas 3,,
Rob Woodall,Republican,Georgia 7,,
Kevin Yoder,Republican,Kansas 3,,
Todd Young,Republican,Indiana 9,,
Janice Hahn,Democrat,California 44,,
Mark Amodei,Republican,Nevada 2,,
Suzanne Bonamici,Democrat,Oregon 1,,
Suzan DelBene,Democrat,Washington 1,,
Thomas Massie,Republican,Kentucky 4,,
Donald Payne Jr.,Democrat,New Jersey 10,,
Alan Grayson,Democrat,Florida 9,,
Ann Kirkpatrick,Democrat,Arizona 1,,
Dina Titus,Democrat,Nevada 1,,
Andy Barr,Republican,Kentucky 6,,
Joyce Beatty,Democrat,Ohio 3,,
Ami Bera,Democrat,California 7,,
Jim Bridenstine,Republican,Oklahoma 1,,
Susan Brooks,Republican,Indiana 5,,
Julia Brownley,Democrat,California 26,,
Cheri Bustos,Democrat,Illinois 17,,
Tony Cárdenas,Democrat,California 29,,
Matt Cartwright,Democrat,Pennsylvania 17,,
Joaquin Castro,Democrat,Texas 20,,
Chris Collins,Republican,New York 27,,
Doug Collins,Republican,Georgia 9,,
Paul Cook,Republican,California 8,,
Kevin Cramer,Republican,North Dakota at-large,,
Rodney Davis,Republican,Illinois 13,,
John Delaney,Democrat,Maryland 6,,
Ron DeSantis,Republican,Florida 6,,
Tammy Duckworth,Democrat,Illinois 8,,
Elizabeth Esty,Democrat,Connecticut 5,,
Lois Frankel,Democrat,Florida 22,,
Tulsi Gabbard,Democrat,Hawaii 2,,
Dennis Heck,Democrat,Washington 10,,
George Holding,Republican,North Carolina 13,,
Richard Hudson,Republican,North Carolina 8,,
Jared Huffman,Democrat,California 2,,
Hakeem Jeffries,Democrat,New York 8,,
David Joyce,Republican,Ohio 14,,
Joseph Kennedy III,Democrat,Massachusetts 4,,
Dan Kildee,Democrat,Michigan 5,,
Derek Kilmer,Democrat,Washington 6,,
Ann McLane Kuster,Democrat,New Hampshire 2,,
Doug LaMalfa,Republican,California 1,,
Alan Lowenthal,Democrat,California 47,,
Michelle Lujan Grisham,Democrat,New Mexico 1,,
Sean Patrick Maloney,Democrat,New York 18,,
Mark Meadows,Republican,North Carolina 11,,
Grace Meng,Democrat,New York 6,,
Luke Messer,Republican,Indiana 6,,
Markwayne Mullin,Republican,Oklahoma 2,,
Patrick Murphy,Democrat,Florida 18,,
Beto O'Rourke,Democrat,Texas 16,,
Scott Perry,Republican,Pennsylvania 4,,
Scott Peters,Democrat,California 52,,
Robert Pittenger,Republican,North Carolina 9,,
Mark Pocan,Democrat,Wisconsin 2,,
Tom Rice,Republican,South Carolina 7,,
Keith Rothfus,Republican,Pennsylvania 12,,
Raul Ruiz,Democrat,California 36,,
Kyrsten Sinema,Democrat,Arizona 9,,
Chris Stewart,Republican,Utah 2,,
Eric Swalwell,Democrat,California 15,,
Mark Takano,Democrat,California 41,,
David Valadao,Republican,California 21,,
Juan Vargas,Democrat,California 51,,
Marc Veasey,Democrat,Texas 33,,
Filemon Vela Jr.,Democrat,Texas 34,,
Ann Wagner,Republican,Missouri 2,,
Jackie Walorski,Republican,Indiana 2,,
Randy Weber,Republican,Texas 14,,
Brad Wenstrup,Republican,Ohio 2,,
Roger Williams,Republican,Texas 25,,
Ted Yoho,Republican,Florida 3,,
Robin Kelly,Democrat,Illinois 2,,
Jason Smith,Republican,Missouri 8,,
Katherine Clark,Democrat,Massachusetts 5,,
Bradley Byrne,Republican,Alabama 1,,
David Jolly,Republican,Florida 13,,
Curt Clawson,Republican,Florida 19,,
Alma Adams,Democrat,North Carolina 12,,
Dave Brat,Republican,Virginia 7,,
Donald Norcross,Democrat,New Jersey 1,,
Robert Dold,Republican,Illinois 10,,
Frank Guinta,Republican,New Hampshire 1,,
Ralph Abraham,Republican,Louisiana 5,,
Pete Aguilar,Democrat,California 31,,
Rick W. Allen,Republican,Georgia 12,,
Brad Ashford,Democrat,Nebraska 2,,
Brian Babin,Republican,Texas 36,,
Don Beyer,Democrat,Virginia 8,,
Mike Bishop,Republican,Michigan 8,,
Rod Blum,Republican,Iowa 1,,
Mike Bost,Republican,Illinois 12,,
Brendan F. Boyle,Democrat,Pennsylvania 13,,
Ken Buck,Republican,Colorado 4,,
Buddy Carter,Republican,Georgia 1,,
Barbara Comstock,Republican,Virginia 10,,
Ryan Costello,Republican,Pennsylvania 6,,
Carlos Curbelo,Republican,Florida 26,,
Mark DeSaulnier,Democrat,California 11,,
Debbie Dingell,Democrat,Michigan 12,,
Tom Emmer,Republican,Minnesota 6,,
Ruben Gallego,Democrat,Arizona 7,,
Gwen Graham,Democrat,Florida 2,,
Garret Graves,Republican,Louisiana 6,,
Glenn Grothman,Republican,Wisconsin 6,,
Cresent Hardy,Republican,Nevada 4,,
Jody Hice,Republican,Georgia 10,,
French Hill,Republican,Arkansas 2,,
Will Hurd,Republican,Texas 23,,
Evan Jenkins,Republican,West Virginia 3,,
John Katko,Republican,New York 24,,
Steve Knight,Republican,California 25,,
Brenda Lawrence,Democrat,Michigan 14,,
Ted Lieu,Democrat,California 33,,
Barry Loudermilk,Republican,Georgia 11,,
Mia Love,Republican,Utah 4,,
Tom MacArthur,Republican,New Jersey 3,,
Martha McSally,Republican,Arizona 2,,
John Moolenaar,Republican,Michigan 4,,
Alex Mooney,Republican,West Virginia 2,,
Seth Moulton,Democrat,Massachusetts 6,,
Dan Newhouse,Republican,Washington 4,,
Gary Palmer,Republican,Alabama 6,,
Bruce Poliquin,Republican,Maine 2,,
John Ratcliffe,Republican,Texas 4,,
Kathleen Rice,Democrat,New York 4,,
David Rouzer,Republican,North Carolina 7,,
Steve Russell,Republican,Oklahoma 5,,
Elise Stefanik,Republican,New York 21,,
Mark Takai,Democrat,Hawaii 1,,
Norma Torres,Democrat,California 35,,
David Trott,Republican,Michigan 11,,
Mark Walker,Republican,North Carolina 6,,
Mimi Walters,Republican,California 45,,
Bonnie Watson Coleman,Democrat,New Jersey 12,,
Bruce Westerman,Republican,Arkansas 4,,
David Young,Republican,Iowa 3,,
Lee Zeldin,Republican,New York 1,,
Ryan Zinke,Republican,Montana at-large,,
Dan Donovan,Republican,New York 11,,
Trent Kelly,Republican,Mississippi 1,,
Darin LaHood,Republican,Illinois 18,,
Warren Davidson,Republican,Ohio 8,,
Colleen Hanabusa,Democrat,Hawaii 1,,
James Comer,Republican,Kentucky 1,,
Dwight Evans,Democrat,Pennsylvania 2,,
