Roy Blunt,11900,Republican,Missouri
Richard Burr,9900,Republican,North Carolina
Chuck Grassley,9900,Republican,Iowa
Rand Paul,9900,Republican,Kentucky
Rob Portman,9900,Republican,Ohio
Marco Rubio,9900,Republican,Florida
John Hoeven,8450,Republican,North Dakota
Johnny Isakson,8450,Republican,Georgia
Ron Johnson,7450,Republican,Wisconsin
Kelly Ayotte,5950,Republican,New Hampshire
John Boozman,5950,Republican,Arkansas
James Lankford,5000,Republican,Oklahoma
John Thune,5000,Republican,South Dakota
Mike Crapo,4950,Republican,Idaho
Richard C Shelby,4950,Republican,Alabama
David Vitter,4950,Republican,Louisiana
Lisa Murkowski,4500,Republican,Alaska
Tim Scott,4500,Republican,South Carolina
Mike Lee,2500,Republican,Utah
Jerry Moran,2450,Republican,Kansas
Ted Cruz,350,Republican,Texas
John McCain,300,Republican,Arizona
Patrick Leahy,,Democratic,Vermont
Orrin Hatch,,Republican,Utah
Thad Cochran,,Republican,Mississippi
Mitch McConnell,,Republican,Kentucky
Barbara Mikulski,,Democratic,Maryland
Richard Shelby,,Republican,Alabama
Harry Reid,,Democratic,Nevada
Dianne Feinstein,,Democratic,California
Barbara Boxer,,Democratic,California
Patty Murray,,Democratic,Washington
Jim Inhofe,,Republican,Oklahoma
Ron Wyden,,Democratic,Oregon
Pat Roberts,,Republican,Kansas
Dick Durbin,,Democratic,Illinois
Jack Reed,,Democratic,Illinois
Jeff Sessions,,Republican,Alabama
Susan Collins,,Republican,Maine
Mike Enzi,,Republican,Wyoming
Chuck Schumer,,Democratic,New York
Bill Nelson,,Democratic,Florida
Tom Carper,,Democratic,Delaware
Debbie Stabenow,,Democratic,Michigan
Maria Cantwell,,Democratic,Washington
John Cornyn,,Republican,Texas
Lindsey Graham,,Republican,South Carolina
Lamar Alexander,,Republican,Tennessee
Bob Menendez,,Democratic,New Jersey
Ben Cardin,,Democratic,Maryland
Bernie Sanders,,Independent,Vermont
Sherrod Brown,,Democratic,Ohio
Bob Casey Jr,,Democratic,Pennsylvania
Bob Corker,,Republican,Tennessee
Claire McCaskill,,Democratic,Missouri
Amy Klobuchar,,Democratic,Minnesota
Sheldon Whitehouse,,Democratic,Rhode Island
Jon Tester,,Democratic,Montana
John Barrasso,,Republican,Wyoming
Roger Wicker,,Republican,Mississippi
Tom Udall,,Democratic,New Mexico
Jeanne Shaheen,,Democratic,New Hampshire
Mark Warner,,Democratic,Virginia
Jim Risch,,Republican,Idaho
Jeff Merkley,,Democratic,Oregon
Michael Bennet,,Democratic,Colorado
Kirsten Gillibrand,,Democratic,New York
Al Franken,,Democratic,Minnesota
Joe Manchin,,Democratic,West Virginia
Chris Coons,,Democratic,Delaware
Mark Kirk,,Republican,Illinois
Dan Coats,,Republican,Indiana
Pat Toomey,,Republican,Pennsylvania
Richard Blumenthal,,Democratic,Connecticut
Michael S. Lee,,Republican,Utah
Dean Heller,,Republican,Nevada
Brian Schatz,,Democratic,Hawaii
Tammy Baldwin,,Democratic,Wisconsin
Jeff Flake,,Republican,Arizona
Joe Donnelly,,Democratic,Indiana
Chris Murphy,,Democratic,Connecticut
Mazie Hirono,,Democratic,Hawaii
Martin Heinrich,,Democratic,New Mexico
Angus King,,Independent,Maine
Tim Kaine,,Democratic,Virginia
Elizabeth Warren,,Democratic,Massachusetts
Deb Fischer,,Republican,Nebraska
Heidi Heitkamp,,Democratic,North Dakota
Ed Markey,,Democratic,Massachusetts
Cory Booker,,Democratic,New Jersey
Shelley Moore Capito,,Republican,West Virginia
Gary Peters,,Democratic,Michigan
Bill Cassidy,,Republican,Louisiana
Cory Gardner,,Republican,Colorado
Tom Cotton,,Republican,Arkansas
Steve Daines,,Republican,Montana
Mike Rounds,,Republican,South Dakota
David Perdue,,Republican,Georgia
Thom Tillis,,Republican,North Carolina
Joni Ernst,,Republican,Iowa
Ben Sasse,,Republican,Nebraska
Dan Sullivan,,Republican,Alaska